id,water,uv,area,fertilizer_usage,yield,pesticides,region,categories
169,5.615,65.281,3.23,0,7.977,8.969,0,"b,a,c"
476,7.044,73.319,9.081,0,23.009,7.197,0,"c,a,d"
152,5.607,60.038,2.864,2,23.019,7.424,0,"d,a"
293,9.346,64.719,2.797,2,28.066,1.256,0,d
10,7.969,,5.407,1,29.14,0.274,0,"c,d"
564,5.92,78.735,5.245,2,29.507,1.136,0,b
941,9.07,71.769,4.13,2,29.673,2.075,0,"b,c,a,d"
303,,77.619,6.824,1,30.967,1.497,0,"a,c,b,d"
165,11.482,65.269,2.798,4,31.438,2.334,0,"c,b"
351,3.819,66.138,6.259,0,32.389,0.948,0,"d,b,c"
528,4.259,,4.088,4,35.516,0.739,0,"b,c,a"
256,7.097,70.294,4.209,3,36.232,1.771,0,"b,c"
33,8.113,85.449,4.057,3,36.945,1.679,0,"d,a"
518,6.11,89.28,7.367,1,37.244,0.321,0,"c,b,d"
939,6.609,106.31,7.918,0,37.575,1.805,0,"c,a"
18,,77.431,6.779,0,38.773,4.901,0,"b,d,a"
952,,70.481,6.898,0,39.184,5.035,0,"c,a,b,d"
